,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
134,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-10,738.8,7,0.0,",7",8.0,",7",7.0,",7",0.0,"4,7",0.0,"3,7",0.0,",7",1.0,",7",0.0,",7",6.0,",7",0.0,",7",-0.6,",7,15,",0.0,"4,,7,31,+",0.0,"3,,7,31,+",12.4,",,7,10,",25.0,",7,01,",290.0,7,243.0,",7",46.7,",,,7",0.0,"3,,,7",10.5,",7",16.0,",,,7",5.0,",,,7"
135,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-11,738.8,7,0.0,",7",6.0,",7",4.0,",7",0.0,",7",0.0,",7",0.0,",7",12.0,",7",0.0,",7",0.0,",7",0.0,",7",-5.0,",7,23,",0.0,",,7,30,+",0.0,",,7,30,+",10.2,",,7,21,",20.0,",7,02,",663.9,7,373.9,",7",21.1,",,,7",0.0,",,,7",5.9,",7",10.7,",,,7",1.0,",,,7"
136,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-12,738.8,7,0.0,",7",8.0,",7",5.0,",7",29.0,",7",8.0,",7",1.0,",7",30.0,",7",20.0,",7",0.0,",7",0.0,",7",-19.4,",7,09,",381.0,",,7,22,",152.0,",,7,19,",35.6,",,7,04,",12.8,",7,04,+",1359.0,7,695.1,",7",86.1,",,,7",507.0,",,,7",-4.1,",7",0.4,",,,7",-8.6,",,,7"
137,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-01,0.0,7,0.0,",7",7.0,",7",3.0,",7",31.0,",7",4.0,",7",0.0,",7",31.0,",7",2.0,",7",0.0,",7",0.0,",7",-10.0,",7,05,",229.0,",,7,09,",102.0,",,7,30,+",10.7,",,7,30,",12.8,",7,11,",1936.8,7,577.8,",7",23.8,",,,7",331.0,",,,7",-0.3,",7",4.4,",,,7",-5.0,",,,7"
138,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-02,0.0,7,0.0,",7",11.0,",7",6.0,",7",10.0,",7",2.0,",7",0.0,",7",12.0,",7",2.0,",7",0.0,",7",0.0,",7",-10.0,",7,05,",102.0,",,7,05,+",51.0,",,7,04,",23.4,",,7,27,",16.7,",7,16,+",2334.6,7,397.8,",7",52.2,",,,7",76.0,",,,7",4.1,",7",8.6,",,,7",-0.4,",,,7"
139,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-03,0.0,7,0.0,",7",7.0,",7",6.0,",7",0.0,",7",0.0,",7",0.0,",7",10.0,",7",0.0,",7",0.0,",7",0.0,",7",-2.8,",7,21,+",0.0,",,7,31,+",0.0,",,7,31,+",14.7,",,7,30,",19.4,",7,26,+",2673.8,7,339.2,",7",47.5,",,,7",0.0,",,,7",7.4,",7",13.2,",,,7",1.6,",,,7"
140,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-04,1.4,7,1.4,",7",8.0,",7",5.0,",7",,,,,0.0,",7",3.0,",7",0.0,",7",7.0,",7",0.0,",7",-1.1,",7,01,",,,,,31.5,",,7,26,",23.3,",7,21,",2907.3,7,233.5,",7",62.8,",,,7",,,10.6,",7",16.3,",,,7",4.9,",,,7"
141,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-05,34.9,7,33.5,",7",5.0,",7",4.0,",7",0.0,"1,7",0.0,"1,7",0.0,",7",0.0,",7",0.0,",7",22.0,",7",0.0,",7",1.7,",7,08,",0.0,"1,,7,31,+",0.0,"1,,7,31,+",14.0,",,7,08,",30.0,",7,29,+",3004.5,7,97.2,",7",37.4,",,,7",0.0,"1,,,7",16.3,",7",22.3,",,,7",10.2,",,,7"
142,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-06,142.9,7,108.0,",7",3.0,",7",3.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",28.0,",7",3.0,",7",3.9,",7,18,",0.0,",,7,30,+",0.0,",,7,30,+",19.3,",,7,27,",32.8,",7,25,",3019.2,7,14.7,",7",42.4,",,,7",0.0,",,,7",21.4,",7",27.9,",,,7",15.0,",,,7"
143,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2014-07,412.8,7,269.9,",7",3.0,",7",3.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",31.0,",7",26.0,",7",13.9,",7,01,",0.0,",,7,31,+",0.0,",,7,31,+",14.2,",,7,29,",37.2,",7,23,+",0.0,7,0.0,",7",27.1,",,,7",0.0,",,,7",27.0,",7",33.3,",,,7",20.8,",,,7"
